,avg_dom_gross_mil,avg_budget_mil,avg_dom_profit_mil,title_count,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
1,26.216143034700316,22.255317796610168,4.101723476340695,317,53.0,23.0,8.0,11.0,47.0,31.0,26.0,121.0,9.0,14.0,8.0,30.0,5.0,1.0,18.0,17.0,13.0,2.0,48.0,2.0,2.0
2,38.455800349030476,29.511731015151515,8.745395232686985,361,54.0,37.0,11.0,13.0,51.0,29.0,39.0,110.0,10.0,20.0,6.0,30.0,6.0,3.0,21.0,29.0,12.0,3.0,43.0,5.0,3.0
3,42.457385004683836,45.38724064741641,9.231083252927405,427,61.0,49.0,13.0,20.0,72.0,29.0,48.0,155.0,28.0,28.0,6.0,29.0,5.0,6.0,20.0,40.0,20.0,5.0,46.0,6.0,3.0
4,29.331188964539006,26.36539255014327,4.291827262411348,421,46.0,30.0,11.0,23.0,74.0,40.0,54.0,164.0,21.0,12.0,12.0,54.0,3.0,0.0,25.0,35.0,25.0,6.0,54.0,5.0,1.0
5,71.06299758376963,46.603951468000005,21.33761906020941,381,55.0,46.0,8.0,7.0,70.0,22.0,39.0,108.0,11.0,16.0,3.0,20.0,2.0,2.0,9.0,32.0,20.0,3.0,34.0,2.0,0.0
6,70.07015772444444,44.50985372063492,24.6155934177778,447,69.0,55.0,20.0,21.0,78.0,27.0,47.0,139.0,14.0,14.0,9.0,21.0,12.0,2.0,17.0,27.0,24.0,5.0,31.0,8.0,0.0
7,64.23158038221153,38.264766536964984,19.506445826923066,416,58.0,48.0,13.0,8.0,85.0,21.0,33.0,104.0,16.0,17.0,8.0,25.0,5.0,3.0,19.0,26.0,24.0,5.0,36.0,0.0,2.0
8,34.16580271948608,24.04741806020067,7.545062421841533,467,61.0,35.0,13.0,17.0,57.0,41.0,36.0,152.0,15.0,12.0,2.0,38.0,13.0,2.0,19.0,26.0,14.0,7.0,60.0,5.0,1.0
9,25.08328409230769,23.678609487951807,2.069803784615385,455,70.0,26.0,10.0,23.0,64.0,45.0,38.0,163.0,9.0,3.0,6.0,50.0,6.0,1.0,27.0,38.0,19.0,10.0,70.0,2.0,3.0
10,26.40502416415094,22.70636712328767,4.817933598113203,526,47.0,24.0,3.0,28.0,69.0,44.0,49.0,188.0,20.0,16.0,11.0,50.0,10.0,5.0,38.0,27.0,17.0,8.0,65.0,6.0,2.0
11,62.008881561403506,44.90120616382252,17.331145342105266,455,55.0,52.0,18.0,35.0,67.0,30.0,33.0,156.0,19.0,22.0,12.0,22.0,7.0,4.0,13.0,34.0,12.0,9.0,39.0,5.0,1.0
12,62.44565077272728,28.568208835341363,20.911656227272726,548,78.0,64.0,16.0,42.0,105.0,39.0,54.0,251.0,32.0,22.0,13.0,45.0,13.0,4.0,22.0,39.0,29.0,12.0,66.0,7.0,7.0
